natural_language,sql,mongodb,operation
Delete all orders,DELETE FROM orders;,db.orders.deleteMany({}),DELETE
Delete departments with department_id less than 15409,DELETE FROM departments WHERE department_id < 15409;,db.departments.deleteMany({department_id: {$lt: 15409}}),DELETE
"Insert a new order with order_id as 1068, customer_name as Dr. Julia Roberts, product_name as Javier Flores","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (1068, 'Dr. Julia Roberts', 'Javier Flores', 7540, '2025-06-18', 13879.83);","db.orders.insertOne({
  ""order_id"": 1068,
  ""customer_name"": ""Dr. Julia Roberts"",
  ""product_name"": ""Javier Flores"",
  ""quantity"": 7540,
  ""order_date"": ""2025-06-18"",
  ""total_amount"": 13879.83
})",CREATE
Delete all departments,DELETE FROM departments;,db.departments.deleteMany({}),DELETE
"Insert a new project with project_id as 3984, project_name as Johnathan Rodriguez, start_date as 2022-03-17","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (3984, 'Johnathan Rodriguez', '2022-03-17', '2025-05-11', 10884.2, 'Pending');","db.projects.insertOne({
  ""project_id"": 3984,
  ""project_name"": ""Johnathan Rodriguez"",
  ""start_date"": ""2022-03-17"",
  ""end_date"": ""2025-05-11"",
  ""budget"": 10884.2,
  ""status"": ""Pending""
})",CREATE
Increase product_id by 941 in products where price equals 99137.08,UPDATE products SET product_id = product_id + 941 WHERE price = '99137.08';,"db.products.updateMany({price: '99137.08'}, {$inc: {product_id: 941}})",UPDATE
Get all name from employees,SELECT name FROM employees;,"db.employees.find({}, {name: 1})",READ
"Insert a new employee with employee_id as 2559, name as Michael Hall, email as kimberlygray@example.org","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (2559, 'Michael Hall', 'kimberlygray@example.org', 'HR', 49233.62, '2021-03-10', 3941);","db.employees.insertOne({
  ""employee_id"": 2559,
  ""name"": ""Michael Hall"",
  ""email"": ""kimberlygray@example.org"",
  ""department"": ""HR"",
  ""salary"": 49233.62,
  ""hire_date"": ""2021-03-10"",
  ""age"": 3941
})",CREATE
Delete orders with total_amount less than 25943,DELETE FROM orders WHERE total_amount < 25943;,db.orders.deleteMany({total_amount: {$lt: 25943}}),DELETE
Get top 50 projects ordered by end_date,SELECT * FROM projects ORDER BY end_date DESC LIMIT 50;,db.projects.find({}).sort({end_date: -1}).limit(50),READ
"Insert a new project with project_id as 577, project_name as Matthew Reyes, start_date as 2025-01-11","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (577, 'Matthew Reyes', '2025-01-11', '2022-05-16', 80759.76, 'Completed');","db.projects.insertOne({
  ""project_id"": 577,
  ""project_name"": ""Matthew Reyes"",
  ""start_date"": ""2025-01-11"",
  ""end_date"": ""2022-05-16"",
  ""budget"": 80759.76,
  ""status"": ""Completed""
})",CREATE
Show products with product_name greater than 30226,SELECT * FROM products WHERE product_name > 30226;,db.products.find({product_name: {$gt: 30226}}),READ
Increase employee_id by 1350 in employees where department equals Finance,UPDATE employees SET employee_id = employee_id + 1350 WHERE department = 'Finance';,"db.employees.updateMany({department: 'Finance'}, {$inc: {employee_id: 1350}})",UPDATE
"Insert a new order with order_id as 7225, customer_name as Lisa Smith, product_name as Ronald Medina","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (7225, 'Lisa Smith', 'Ronald Medina', 962, '2024-02-27', 19509.71);","db.orders.insertOne({
  ""order_id"": 7225,
  ""customer_name"": ""Lisa Smith"",
  ""product_name"": ""Ronald Medina"",
  ""quantity"": 962,
  ""order_date"": ""2024-02-27"",
  ""total_amount"": 19509.71
})",CREATE
Find projects where end_date is 2024-08-25,SELECT * FROM projects WHERE end_date = '2024-08-25';,db.projects.find({end_date: '2024-08-25'}),READ
"Insert a new department with department_id as 466, department_name as Jeffrey Reeves, manager_id as 5599","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (466, 'Jeffrey Reeves', 5599, 52852.65, 'Deborahberg');","db.departments.insertOne({
  ""department_id"": 466,
  ""department_name"": ""Jeffrey Reeves"",
  ""manager_id"": 5599,
  ""budget"": 52852.65,
  ""location"": ""Deborahberg""
})",CREATE
"Insert a new project with project_id as 7798, project_name as Laura Moreno, start_date as 2021-05-23","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (7798, 'Laura Moreno', '2021-05-23', '2022-10-06', 16078.06, 'Pending');","db.projects.insertOne({
  ""project_id"": 7798,
  ""project_name"": ""Laura Moreno"",
  ""start_date"": ""2021-05-23"",
  ""end_date"": ""2022-10-06"",
  ""budget"": 16078.06,
  ""status"": ""Pending""
})",CREATE
Delete departments with manager_id less than 15942,DELETE FROM departments WHERE manager_id < 15942;,db.departments.deleteMany({manager_id: {$lt: 15942}}),DELETE
Increase order_id by 2078 in orders where total_amount equals 64715.68,UPDATE orders SET order_id = order_id + 2078 WHERE total_amount = '64715.68';,"db.orders.updateMany({total_amount: '64715.68'}, {$inc: {order_id: 2078}})",UPDATE
Delete all projects,DELETE FROM projects;,db.projects.deleteMany({}),DELETE
Find departments where location is Dawnburgh,SELECT * FROM departments WHERE location = 'Dawnburgh';,db.departments.find({location: 'Dawnburgh'}),READ
Delete all projects,DELETE FROM projects;,db.projects.deleteMany({}),DELETE
Increase employee_id by 4594 in employees where hire_date equals 2021-12-22,UPDATE employees SET employee_id = employee_id + 4594 WHERE hire_date = '2021-12-22';,"db.employees.updateMany({hire_date: '2021-12-22'}, {$inc: {employee_id: 4594}})",UPDATE
Find projects where project_id is 3811,SELECT * FROM projects WHERE project_id = '3811';,db.projects.find({project_id: '3811'}),READ
"Insert a new employee with employee_id as 9745, name as Andrew Michael, email as valdezjeanne@example.net","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (9745, 'Andrew Michael', 'valdezjeanne@example.net', 'Marketing', 59625.47, '2021-11-13', 1628);","db.employees.insertOne({
  ""employee_id"": 9745,
  ""name"": ""Andrew Michael"",
  ""email"": ""valdezjeanne@example.net"",
  ""department"": ""Marketing"",
  ""salary"": 59625.47,
  ""hire_date"": ""2021-11-13"",
  ""age"": 1628
})",CREATE
"Insert a new order with order_id as 3946, customer_name as Steve Delgado, product_name as David Espinoza","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (3946, 'Steve Delgado', 'David Espinoza', 2094, '2024-02-21', 61694.74);","db.orders.insertOne({
  ""order_id"": 3946,
  ""customer_name"": ""Steve Delgado"",
  ""product_name"": ""David Espinoza"",
  ""quantity"": 2094,
  ""order_date"": ""2024-02-21"",
  ""total_amount"": 61694.74
})",CREATE
"Insert a new order with order_id as 7605, customer_name as Nancy Alvarez, product_name as Carl Alvarez","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (7605, 'Nancy Alvarez', 'Carl Alvarez', 386, '2025-01-03', 38113.47);","db.orders.insertOne({
  ""order_id"": 7605,
  ""customer_name"": ""Nancy Alvarez"",
  ""product_name"": ""Carl Alvarez"",
  ""quantity"": 386,
  ""order_date"": ""2025-01-03"",
  ""total_amount"": 38113.47
})",CREATE
Change product_name to Kim Levine for all products,UPDATE products SET product_name = 'Kim Levine';,"db.products.updateMany({}, {$set: {product_name: 'Kim Levine'}})",UPDATE
Delete orders with order_id less than 26866,DELETE FROM orders WHERE order_id < 26866;,db.orders.deleteMany({order_id: {$lt: 26866}}),DELETE
"Insert a new order with order_id as 7067, customer_name as Drew Forbes, product_name as Christopher Todd","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (7067, 'Drew Forbes', 'Christopher Todd', 6849, '2023-10-14', 73427.36);","db.orders.insertOne({
  ""order_id"": 7067,
  ""customer_name"": ""Drew Forbes"",
  ""product_name"": ""Christopher Todd"",
  ""quantity"": 6849,
  ""order_date"": ""2023-10-14"",
  ""total_amount"": 73427.36
})",CREATE
Show orders with total_amount greater than 48265,SELECT * FROM orders WHERE total_amount > 48265;,db.orders.find({total_amount: {$gt: 48265}}),READ
Change budget to 20674.22 for all departments,UPDATE departments SET budget = '20674.22';,"db.departments.updateMany({}, {$set: {budget: '20674.22'}})",UPDATE
Delete orders with quantity less than 22735,DELETE FROM orders WHERE quantity < 22735;,db.orders.deleteMany({quantity: {$lt: 22735}}),DELETE
"Insert a new department with department_id as 1991, department_name as Kenneth Wright, manager_id as 1335","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (1991, 'Kenneth Wright', 1335, 39194.81, 'New Aaron');","db.departments.insertOne({
  ""department_id"": 1991,
  ""department_name"": ""Kenneth Wright"",
  ""manager_id"": 1335,
  ""budget"": 39194.81,
  ""location"": ""New Aaron""
})",CREATE
Remove orders where customer_name is Mary Austin,DELETE FROM orders WHERE customer_name = 'Mary Austin';,db.orders.deleteMany({customer_name: 'Mary Austin'}),DELETE
Delete projects with budget less than 47299,DELETE FROM projects WHERE budget < 47299;,db.projects.deleteMany({budget: {$lt: 47299}}),DELETE
Show all departments,SELECT * FROM departments;,db.departments.find({}),READ
Show all employees,SELECT * FROM employees;,db.employees.find({}),READ
Delete all products,DELETE FROM products;,db.products.deleteMany({}),DELETE
Remove products where category is Software,DELETE FROM products WHERE category = 'Software';,db.products.deleteMany({category: 'Software'}),DELETE
Delete all products,DELETE FROM products;,db.products.deleteMany({}),DELETE
Delete all projects,DELETE FROM projects;,db.projects.deleteMany({}),DELETE
Increase salary by 3421 in employees where email equals jonesashley@example.org,UPDATE employees SET salary = salary + 3421 WHERE email = 'jonesashley@example.org';,"db.employees.updateMany({email: 'jonesashley@example.org'}, {$inc: {salary: 3421}})",UPDATE
"Insert a new employee with employee_id as 1853, name as Patricia West, email as bhendrix@example.org","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (1853, 'Patricia West', 'bhendrix@example.org', 'Sales', 57679.46, '2024-10-19', 1308);","db.employees.insertOne({
  ""employee_id"": 1853,
  ""name"": ""Patricia West"",
  ""email"": ""bhendrix@example.org"",
  ""department"": ""Sales"",
  ""salary"": 57679.46,
  ""hire_date"": ""2024-10-19"",
  ""age"": 1308
})",CREATE
Show all orders,SELECT * FROM orders;,db.orders.find({}),READ
Delete products with price less than 35358,DELETE FROM products WHERE price < 35358;,db.products.deleteMany({price: {$lt: 35358}}),DELETE
Find projects where end_date is 2022-01-02,SELECT * FROM projects WHERE end_date = '2022-01-02';,db.projects.find({end_date: '2022-01-02'}),READ
"Insert a new department with department_id as 5676, department_name as Daniel Bates, manager_id as 3182","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (5676, 'Daniel Bates', 3182, 88508.24, 'Greeneside');","db.departments.insertOne({
  ""department_id"": 5676,
  ""department_name"": ""Daniel Bates"",
  ""manager_id"": 3182,
  ""budget"": 88508.24,
  ""location"": ""Greeneside""
})",CREATE
"Insert a new order with order_id as 9344, customer_name as Nicholas Jordan, product_name as Charles Hernandez","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (9344, 'Nicholas Jordan', 'Charles Hernandez', 4728, '2022-12-01', 1023.82);","db.orders.insertOne({
  ""order_id"": 9344,
  ""customer_name"": ""Nicholas Jordan"",
  ""product_name"": ""Charles Hernandez"",
  ""quantity"": 4728,
  ""order_date"": ""2022-12-01"",
  ""total_amount"": 1023.82
})",CREATE
Count all departments,SELECT COUNT(*) FROM departments;,db.departments.countDocuments({}),READ
Delete all products,DELETE FROM products;,db.products.deleteMany({}),DELETE
Remove orders where customer_name is Kristen Guzman,DELETE FROM orders WHERE customer_name = 'Kristen Guzman';,db.orders.deleteMany({customer_name: 'Kristen Guzman'}),DELETE
Increase quantity by 3334 in orders where quantity equals 14,UPDATE orders SET quantity = quantity + 3334 WHERE quantity = '14';,"db.orders.updateMany({quantity: '14'}, {$inc: {quantity: 3334}})",UPDATE
Remove employees where email is maldonadomichael@example.com,DELETE FROM employees WHERE email = 'maldonadomichael@example.com';,db.employees.deleteMany({email: 'maldonadomichael@example.com'}),DELETE
Delete all orders,DELETE FROM orders;,db.orders.deleteMany({}),DELETE
Remove projects where project_id is 5300,DELETE FROM projects WHERE project_id = '5300';,db.projects.deleteMany({project_id: '5300'}),DELETE
Update employees set employee_id to 8684 where email is emiller@example.com,UPDATE employees SET employee_id = '8684' WHERE email = 'emiller@example.com';,"db.employees.updateMany({email: 'emiller@example.com'}, {$set: {employee_id: '8684'}})",UPDATE
"Insert a new product with product_id as 966, product_name as Jeffrey Bennett, category as Hardware","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (966, 'Jeffrey Bennett', 'Hardware', 5656.53, 9793, 'Anderson, Singh and Gray');","db.products.insertOne({
  ""product_id"": 966,
  ""product_name"": ""Jeffrey Bennett"",
  ""category"": ""Hardware"",
  ""price"": 5656.53,
  ""stock_quantity"": 9793,
  ""supplier"": ""Anderson, Singh and Gray""
})",CREATE
"Insert a new department with department_id as 351, department_name as Teresa Liu, manager_id as 6820","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (351, 'Teresa Liu', 6820, 26422.17, 'Lake Tabithahaven');","db.departments.insertOne({
  ""department_id"": 351,
  ""department_name"": ""Teresa Liu"",
  ""manager_id"": 6820,
  ""budget"": 26422.17,
  ""location"": ""Lake Tabithahaven""
})",CREATE
Show average order_id from orders,SELECT AVG(order_id) FROM orders;,"db.orders.aggregate([{$group: {_id: null, avg: {$avg: '$order_id'}}}])",READ
Change status to Active for all projects,UPDATE projects SET status = 'Active';,"db.projects.updateMany({}, {$set: {status: 'Active'}})",UPDATE
Delete all departments,DELETE FROM departments;,db.departments.deleteMany({}),DELETE
Get all order_id from orders,SELECT order_id FROM orders;,"db.orders.find({}, {order_id: 1})",READ
Remove projects where budget is 32318.98,DELETE FROM projects WHERE budget = '32318.98';,db.projects.deleteMany({budget: '32318.98'}),DELETE
Delete all orders,DELETE FROM orders;,db.orders.deleteMany({}),DELETE
Remove products where stock_quantity is 7688,DELETE FROM products WHERE stock_quantity = '7688';,db.products.deleteMany({stock_quantity: '7688'}),DELETE
Count all departments,SELECT COUNT(*) FROM departments;,db.departments.countDocuments({}),READ
Change total_amount to 41599.2 for all orders,UPDATE orders SET total_amount = '41599.2';,"db.orders.updateMany({}, {$set: {total_amount: '41599.2'}})",UPDATE
Update departments set budget to 56737.25 where manager_id is 2158,UPDATE departments SET budget = '56737.25' WHERE manager_id = '2158';,"db.departments.updateMany({manager_id: '2158'}, {$set: {budget: '56737.25'}})",UPDATE
Show departments with department_name greater than 44524,SELECT * FROM departments WHERE department_name > 44524;,db.departments.find({department_name: {$gt: 44524}}),READ
Change end_date to 2023-12-20 for all projects,UPDATE projects SET end_date = '2023-12-20';,"db.projects.updateMany({}, {$set: {end_date: '2023-12-20'}})",UPDATE
"Insert a new project with project_id as 9119, project_name as Mr. Christian Juarez, start_date as 2023-09-01","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (9119, 'Mr. Christian Juarez', '2023-09-01', '2021-05-27', 47654.23, 'Completed');","db.projects.insertOne({
  ""project_id"": 9119,
  ""project_name"": ""Mr. Christian Juarez"",
  ""start_date"": ""2023-09-01"",
  ""end_date"": ""2021-05-27"",
  ""budget"": 47654.23,
  ""status"": ""Completed""
})",CREATE
Increase budget by 3747 in projects where end_date equals 2023-07-18,UPDATE projects SET budget = budget + 3747 WHERE end_date = '2023-07-18';,"db.projects.updateMany({end_date: '2023-07-18'}, {$inc: {budget: 3747}})",UPDATE
Change start_date to 2022-11-10 for all projects,UPDATE projects SET start_date = '2022-11-10';,"db.projects.updateMany({}, {$set: {start_date: '2022-11-10'}})",UPDATE
Delete all projects,DELETE FROM projects;,db.projects.deleteMany({}),DELETE
Find departments where department_id is 6212,SELECT * FROM departments WHERE department_id = '6212';,db.departments.find({department_id: '6212'}),READ
Increase department_id by 3476 in departments where manager_id equals 7081,UPDATE departments SET department_id = department_id + 3476 WHERE manager_id = '7081';,"db.departments.updateMany({manager_id: '7081'}, {$inc: {department_id: 3476}})",UPDATE
"Insert a new order with order_id as 4802, customer_name as Christopher Rivera, product_name as Joseph Hernandez","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (4802, 'Christopher Rivera', 'Joseph Hernandez', 7105, '2021-12-01', 15687.28);","db.orders.insertOne({
  ""order_id"": 4802,
  ""customer_name"": ""Christopher Rivera"",
  ""product_name"": ""Joseph Hernandez"",
  ""quantity"": 7105,
  ""order_date"": ""2021-12-01"",
  ""total_amount"": 15687.28
})",CREATE
Increase quantity by 4623 in orders where order_id equals 3654,UPDATE orders SET quantity = quantity + 4623 WHERE order_id = '3654';,"db.orders.updateMany({order_id: '3654'}, {$inc: {quantity: 4623}})",UPDATE
Find employees where name contains wrong,SELECT * FROM employees WHERE name LIKE '%wrong%';,"db.employees.find({name: {$regex: 'wrong', $options: 'i'}})",READ
Count all departments,SELECT COUNT(*) FROM departments;,db.departments.countDocuments({}),READ
"Insert a new department with department_id as 5924, department_name as Elizabeth Horn, manager_id as 6651","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (5924, 'Elizabeth Horn', 6651, 42816.03, 'Port Nicolefurt');","db.departments.insertOne({
  ""department_id"": 5924,
  ""department_name"": ""Elizabeth Horn"",
  ""manager_id"": 6651,
  ""budget"": 42816.03,
  ""location"": ""Port Nicolefurt""
})",CREATE
Increase budget by 3721 in departments where manager_id equals 5591,UPDATE departments SET budget = budget + 3721 WHERE manager_id = '5591';,"db.departments.updateMany({manager_id: '5591'}, {$inc: {budget: 3721}})",UPDATE
Delete all departments,DELETE FROM departments;,db.departments.deleteMany({}),DELETE
Change product_name to Claire Charles for all orders,UPDATE orders SET product_name = 'Claire Charles';,"db.orders.updateMany({}, {$set: {product_name: 'Claire Charles'}})",UPDATE
"Insert a new employee with employee_id as 6825, name as Amanda Hodges, email as nicholasedwards@example.com","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (6825, 'Amanda Hodges', 'nicholasedwards@example.com', 'Engineering', 32644.41, '2025-10-09', 8832);","db.employees.insertOne({
  ""employee_id"": 6825,
  ""name"": ""Amanda Hodges"",
  ""email"": ""nicholasedwards@example.com"",
  ""department"": ""Engineering"",
  ""salary"": 32644.41,
  ""hire_date"": ""2025-10-09"",
  ""age"": 8832
})",CREATE
Update employees set employee_id to 5236 where salary is 75301.31,UPDATE employees SET employee_id = '5236' WHERE salary = '75301.31';,"db.employees.updateMany({salary: '75301.31'}, {$set: {employee_id: '5236'}})",UPDATE
Get all department from employees,SELECT department FROM employees;,"db.employees.find({}, {department: 1})",READ
Delete all employees,DELETE FROM employees;,db.employees.deleteMany({}),DELETE
"Insert a new project with project_id as 5003, project_name as Dr. Brian Nicholson, start_date as 2023-07-08","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (5003, 'Dr. Brian Nicholson', '2023-07-08', '2025-09-22', 72144.83, 'Completed');","db.projects.insertOne({
  ""project_id"": 5003,
  ""project_name"": ""Dr. Brian Nicholson"",
  ""start_date"": ""2023-07-08"",
  ""end_date"": ""2025-09-22"",
  ""budget"": 72144.83,
  ""status"": ""Completed""
})",CREATE
"Insert a new employee with employee_id as 3151, name as Kathryn Ali, email as ashleysmith@example.org","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (3151, 'Kathryn Ali', 'ashleysmith@example.org', 'Sales', 71725.35, '2022-06-17', 5884);","db.employees.insertOne({
  ""employee_id"": 3151,
  ""name"": ""Kathryn Ali"",
  ""email"": ""ashleysmith@example.org"",
  ""department"": ""Sales"",
  ""salary"": 71725.35,
  ""hire_date"": ""2022-06-17"",
  ""age"": 5884
})",CREATE
"Insert a new department with department_id as 1398, department_name as Daniel West, manager_id as 1177","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (1398, 'Daniel West', 1177, 74649.24, 'Lake Joseph');","db.departments.insertOne({
  ""department_id"": 1398,
  ""department_name"": ""Daniel West"",
  ""manager_id"": 1177,
  ""budget"": 74649.24,
  ""location"": ""Lake Joseph""
})",CREATE
Remove orders where product_name is Susan Santos,DELETE FROM orders WHERE product_name = 'Susan Santos';,db.orders.deleteMany({product_name: 'Susan Santos'}),DELETE
Delete all products,DELETE FROM products;,db.products.deleteMany({}),DELETE
"Insert a new product with product_id as 430, product_name as Megan Thompson, category as Electronics","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (430, 'Megan Thompson', 'Electronics', 48368.63, 9898, 'Silva, Walker and Mason');","db.products.insertOne({
  ""product_id"": 430,
  ""product_name"": ""Megan Thompson"",
  ""category"": ""Electronics"",
  ""price"": 48368.63,
  ""stock_quantity"": 9898,
  ""supplier"": ""Silva, Walker and Mason""
})",CREATE
"Insert a new product with product_id as 5097, product_name as Brett Pope, category as Furniture","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (5097, 'Brett Pope', 'Furniture', 9613.21, 5850, 'Atkinson Inc');","db.products.insertOne({
  ""product_id"": 5097,
  ""product_name"": ""Brett Pope"",
  ""category"": ""Furniture"",
  ""price"": 9613.21,
  ""stock_quantity"": 5850,
  ""supplier"": ""Atkinson Inc""
})",CREATE
Delete departments with manager_id less than 5243,DELETE FROM departments WHERE manager_id < 5243;,db.departments.deleteMany({manager_id: {$lt: 5243}}),DELETE
Remove products where product_name is Paul Thomas,DELETE FROM products WHERE product_name = 'Paul Thomas';,db.products.deleteMany({product_name: 'Paul Thomas'}),DELETE
Remove orders where product_name is Rachael Hartman,DELETE FROM orders WHERE product_name = 'Rachael Hartman';,db.orders.deleteMany({product_name: 'Rachael Hartman'}),DELETE
"Insert a new department with department_id as 3748, department_name as Adam Wood, manager_id as 5827","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (3748, 'Adam Wood', 5827, 36630.07, 'Briggsborough');","db.departments.insertOne({
  ""department_id"": 3748,
  ""department_name"": ""Adam Wood"",
  ""manager_id"": 5827,
  ""budget"": 36630.07,
  ""location"": ""Briggsborough""
})",CREATE
Show average salary from employees,SELECT AVG(salary) FROM employees;,"db.employees.aggregate([{$group: {_id: null, avg: {$avg: '$salary'}}}])",READ
Get all location from departments,SELECT location FROM departments;,"db.departments.find({}, {location: 1})",READ
Increase product_id by 1211 in products where category equals Furniture,UPDATE products SET product_id = product_id + 1211 WHERE category = 'Furniture';,"db.products.updateMany({category: 'Furniture'}, {$inc: {product_id: 1211}})",UPDATE
Change order_date to 2024-04-21 for all orders,UPDATE orders SET order_date = '2024-04-21';,"db.orders.updateMany({}, {$set: {order_date: '2024-04-21'}})",UPDATE
Show all employees,SELECT * FROM employees;,db.employees.find({}),READ
"Insert a new project with project_id as 9889, project_name as Krystal Marquez, start_date as 2026-01-03","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (9889, 'Krystal Marquez', '2026-01-03', '2025-09-09', 12538.99, 'Cancelled');","db.projects.insertOne({
  ""project_id"": 9889,
  ""project_name"": ""Krystal Marquez"",
  ""start_date"": ""2026-01-03"",
  ""end_date"": ""2025-09-09"",
  ""budget"": 12538.99,
  ""status"": ""Cancelled""
})",CREATE
Count all employees,SELECT COUNT(*) FROM employees;,db.employees.countDocuments({}),READ
Delete orders with total_amount less than 26851,DELETE FROM orders WHERE total_amount < 26851;,db.orders.deleteMany({total_amount: {$lt: 26851}}),DELETE
Delete orders with quantity less than 3864,DELETE FROM orders WHERE quantity < 3864;,db.orders.deleteMany({quantity: {$lt: 3864}}),DELETE
"Insert a new department with department_id as 317, department_name as Steven Goodman, manager_id as 6850","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (317, 'Steven Goodman', 6850, 44801.15, 'North Curtis');","db.departments.insertOne({
  ""department_id"": 317,
  ""department_name"": ""Steven Goodman"",
  ""manager_id"": 6850,
  ""budget"": 44801.15,
  ""location"": ""North Curtis""
})",CREATE
Update departments set department_name to Sean Rogers DDS where budget is 52372.8,UPDATE departments SET department_name = 'Sean Rogers DDS' WHERE budget = '52372.8';,"db.departments.updateMany({budget: '52372.8'}, {$set: {department_name: 'Sean Rogers DDS'}})",UPDATE
Update employees set employee_id to 4664 where salary is 44472.68,UPDATE employees SET employee_id = '4664' WHERE salary = '44472.68';,"db.employees.updateMany({salary: '44472.68'}, {$set: {employee_id: '4664'}})",UPDATE
"Insert a new order with order_id as 6073, customer_name as Robert Saunders, product_name as Matthew Cole","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (6073, 'Robert Saunders', 'Matthew Cole', 6901, '2024-10-20', 64155.71);","db.orders.insertOne({
  ""order_id"": 6073,
  ""customer_name"": ""Robert Saunders"",
  ""product_name"": ""Matthew Cole"",
  ""quantity"": 6901,
  ""order_date"": ""2024-10-20"",
  ""total_amount"": 64155.71
})",CREATE
Delete projects with project_id less than 10837,DELETE FROM projects WHERE project_id < 10837;,db.projects.deleteMany({project_id: {$lt: 10837}}),DELETE
Find products where category is Hardware,SELECT * FROM products WHERE category = 'Hardware';,db.products.find({category: 'Hardware'}),READ
Change email to candice20@example.org for all employees,UPDATE employees SET email = 'candice20@example.org';,"db.employees.updateMany({}, {$set: {email: 'candice20@example.org'}})",UPDATE
Change budget to 89163.62 for all projects,UPDATE projects SET budget = '89163.62';,"db.projects.updateMany({}, {$set: {budget: '89163.62'}})",UPDATE
Get top 8 orders ordered by product_name,SELECT * FROM orders ORDER BY product_name DESC LIMIT 8;,db.orders.find({}).sort({product_name: -1}).limit(8),READ
Get top 29 products ordered by product_id,SELECT * FROM products ORDER BY product_id DESC LIMIT 29;,db.products.find({}).sort({product_id: -1}).limit(29),READ
Increase price by 1552 in products where product_id equals 9026,UPDATE products SET price = price + 1552 WHERE product_id = '9026';,"db.products.updateMany({product_id: '9026'}, {$inc: {price: 1552}})",UPDATE
Count all projects,SELECT COUNT(*) FROM projects;,db.projects.countDocuments({}),READ
Find products where stock_quantity is 449,SELECT * FROM products WHERE stock_quantity = '449';,db.products.find({stock_quantity: '449'}),READ
Count all projects,SELECT COUNT(*) FROM projects;,db.projects.countDocuments({}),READ
"Insert a new employee with employee_id as 6352, name as Joshua Murphy, email as cynthia99@example.org","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (6352, 'Joshua Murphy', 'cynthia99@example.org', 'Operations', 1773.24, '2023-12-08', 2106);","db.employees.insertOne({
  ""employee_id"": 6352,
  ""name"": ""Joshua Murphy"",
  ""email"": ""cynthia99@example.org"",
  ""department"": ""Operations"",
  ""salary"": 1773.24,
  ""hire_date"": ""2023-12-08"",
  ""age"": 2106
})",CREATE
Find products where price is 6787.82,SELECT * FROM products WHERE price = '6787.82';,db.products.find({price: '6787.82'}),READ
Delete all orders,DELETE FROM orders;,db.orders.deleteMany({}),DELETE
"Insert a new employee with employee_id as 1796, name as James Smith, email as wallacesheila@example.net","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (1796, 'James Smith', 'wallacesheila@example.net', 'Sales', 48522.8, '2025-02-10', 3225);","db.employees.insertOne({
  ""employee_id"": 1796,
  ""name"": ""James Smith"",
  ""email"": ""wallacesheila@example.net"",
  ""department"": ""Sales"",
  ""salary"": 48522.8,
  ""hire_date"": ""2025-02-10"",
  ""age"": 3225
})",CREATE
Delete all projects,DELETE FROM projects;,db.projects.deleteMany({}),DELETE
Delete all products,DELETE FROM products;,db.products.deleteMany({}),DELETE
